course_code,course_name,description,credits,department,prerequisites,semester,year,time_slots,max_capacity,current_enrollment
CS222,Software Design Lab,"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices—including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork. Prerequisite: CS 128; credit or concurrent registration in CS 225. Restricted to majors in Computer Science undergraduate curricula only.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""02:00 PM"", ""end_time"": ""02:50 PM"", ""room"": ""Campus Instructional Facility 0027/1025""}]",50,0
CS225,Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""11:00 AM"", ""end_time"": ""11:50 AM"", ""room"": ""Foellinger Auditorium AUD""}, {""day"": ""Wednesday"", ""start_time"": ""11:00 AM"", ""end_time"": ""11:50 AM"", ""room"": ""Foellinger Auditorium AUD""}, {""day"": ""Friday"", ""start_time"": ""11:00 AM"", ""end_time"": ""11:50 AM"", ""room"": ""Foellinger Auditorium AUD""}]",50,0
CS233,Computer Architecture,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Prerequisite: CS 125 or CS 128; CS 173 or MATH 213; credit or concurrent enrollment in CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""09:00 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Campus Instructional Facility 35""}]",50,0
CS266,Community Innovation,Same as IS 266 and MACS 266. See IS 266.,3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""09:30 AM"", ""end_time"": ""10:50 AM"", ""room"": ""Armory 144""}]",50,0
CS277,Algorithms and Data Structures for Data Science,"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Credit is not given for CS 277 if credit for CS 225 is earned. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Digital Computer Laboratory 1320""}]",50,0
CS307,Modeling and Learning in Data Science,"Introduction to the use of classical approaches in data modeling and machine learning in the context of solving data-centric problems. A broad coverage of fundamental models is presented, including linear models, unsupervised learning, supervised learning, and deep learning. A significant emphasis is placed on the application of the models in Python and the interpretability of the results. Prerequisite: STAT 207; one of MATH 225, MATH 227, MATH 257, MATH 415, MATH 416, ASRM 406.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""09:30 AM"", ""end_time"": ""10:45 AM"", ""room"": ""Sidney Lu Mech Engr Bldg 2100""}]",50,0
CS340,Introduction to Computer Systems,"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Credit is not given for both CS 340 and CS 240. Prerequisite: CS 128 and CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""12:30 PM"", ""end_time"": ""01:45 PM"", ""room"": ""Materials Science & Eng Bld 100""}]",50,0
CS341,System Programming,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Credit is not given for both CS 341 and either CS 241 or ECE 391. Prerequisite: CS 225 and CS 233.",3,CS,[],Spring,2025,[],50,0
CS357,Numerical Methods I,"Fundamentals of numerical methods for students in science and engineering; floating-point computation, systems of linear equations, approximation of functions and integrals, the single nonlinear equation, and the numerical solution of ordinary differential equations; various applications in science and engineering; programming exercises and use of high quality mathematical library routines. Same as MATH 357. Credit is not given towards graduation for CS 357 if credit for CS 450 has been earned. (Counts for advanced hours in LAS). Prerequisite: One of CS 101, CS 105, CS 124, CS 125 or ECE 220; MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406 or BIOE 210.",3,CS,[],Spring,2025,[],50,0
CS361,Probability &amp; Statistics for Computer Science,"Introduction to probability theory and statistics with applications to computer science. Topics include: visualizing datasets, summarizing data, basic descriptive statistics, conditional probability, independence, Bayes theorem, random variables, joint and conditional distributions, expectation, variance and covariance, central limit theorem. Markov inequality, Chebyshev inequality, law of large numbers, Markov chains, simulation, the PageRank algorithm, populations and sampling, sample mean, standard error, maximum likelihood estimation, Bayes estimation, hypothesis testing, confidence intervals, linear regression, principal component analysis, classification, and decision trees. Same as STAT 361. Credit is not given for both CS 361 and ECE 313. Prerequisite: MATH 220 or MATH 221; credit or concurrent registration in one of MATH 225, MATH 257, MATH 415, MATH 416 or ASRM 406. For majors only.",3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""09:00 AM"", ""end_time"": ""09:50 AM"", ""room"": ""Siebel Center for Comp Sci 1304""}]",50,0
CS374,Introduction to Algorithms &amp; Models of Computation,"Analysis of algorithms, major paradigms of algorithm design including recursive algorithms, divide-and-conquer algorithms, dynamic programming, greedy algorithms, and graph algorithms. Formal models of computation including finite automata and Turing machines. Limitations of computation arising from fundamental notions of algorithm and from complexity-theoretic constraints. Reductions, undecidability and NP-completeness. Same as ECE 374. Prerequisite: One of CS 173, MATH 213; CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""11:00 AM"", ""end_time"": ""12:15 PM"", ""room"": ""Lincoln Hall THEAT""}]",50,0
CS397,Individual Study,May be repeated. Prerequisite: Consent of instructor.,3,CS,[],Spring,2025,[],50,0
CS402,Accelerated Fundamentals of Computing II,"Provides an accelerated introduction to class-based program design and the design of abstractions that support the design of reusable software and libraries. It reviews typical object-oriented concepts such as information hiding, encapsulation, polymorphism, inheritance, composition, and common design patterns. The course will also covers exception handling, database programming, and concurrent programming. No undergraduate credit. 3 graduate hours. Prerequisite: CS 400 or consent of instructor. Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""12:30 PM"", ""end_time"": ""01:45 PM"", ""room"": ""nan nan""}]",50,0
CS403,Accelerated Fundamentals of Algorithms II,"The second class in a sequence of two classes that introduces students to the theoretical foundations of computer science. Topics include major paradigms of algorithm design divide and conquer, greedy, recursive, and dynamic programming; solving recurrences and analysis of divide and conquer algorithms; graph algorithms; formal models of computations like finite state automata and Turing machines; reductions. No undergraduate credit. 3 graduate hours. Prerequisite: CS 401 or consent of instructor. Current enrollment in the Illinois Computing Accelerator for Non-specialists (iCAN) program or consent of instructor. Restricted to post-baccalaureate students with a non-computing background.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""nan nan""}]",50,0
CS407,Cryptography,Same as ECE 407. See ECE 407.,3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""10:30 AM"", ""end_time"": ""11:50 AM"", ""room"": ""Electrical & Computer Eng Bldg 3013""}]",50,0
CS410,Text Information Systems,"Theory, design, and implementation of text-based information systems. Text analysis, retrieval models (e.g., Boolean, vector space, probabilistic), text categorization, text filtering, clustering, retrieval system design and implementation, and applications to web information management. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",3,CS,[],Spring,2025,"[{""day"": ""Wednesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Siebel Center for Comp Sci 1404""}, {""day"": ""Friday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Siebel Center for Comp Sci 1404""}]",50,0
CS411,Database Systems,"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",3,CS,[],Spring,2025,[],50,0
CS412,Introduction to Data Mining,"Concepts, techniques, and systems of data warehousing and data mining. Design and implementation of data warehouse and on-line analytical processing (OLAP) systems; data mining concepts, methods, systems, implementations, and applications. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225.",3,CS,[],Spring,2025,[],50,0
CS413,Intro to Combinatorics,Same as MATH 413. See MATH 413.,3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall 1002""}, {""day"": ""Wednesday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall 1002""}, {""day"": ""Friday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall 1002""}]",50,0
CS415,Game Development,"A team and project-based course on the technical aspects of video game development and game engine internals: geometric modeling, game physics and AI, shader programming, real-time physically based rendering, and software engineering practices within the game industry. The central focus of the course is the development of a game by teams of 3 to 5 students. The course strongly emphasizes code development using a modern game engine. Students will gain skills necessary to develop games and to develop game engines. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 225.",3,CS,[],Spring,2025,[],50,0
CS421,Programming Languages &amp; Compilers,"Structure of programming languages and their implementation. Basic language design principles; abstract data types; functional languages; type systems; object-oriented languages. Basics of lexing, parsing, syntax-directed translation, semantic analysis, and code generation. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 233, CS 240, CS 340 or ECE 391; CS 374 or ECE 374; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406, or BIOE 210.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""09:30 AM"", ""end_time"": ""10:45 AM"", ""room"": ""Campus Instructional Facility 0027/1025""}]",50,0
CS423,Operating Systems Design,"Organization and structure of modern operating systems and concurrent programming concepts. Deadlock, virtual memory, processor scheduling, and disk systems. Performance, security, and protection. Same as CSE 423. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 241, CS 341, or ECE 391.",3,CS,[],Spring,2025,"[{""day"": ""Wednesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Everitt Laboratory 1306""}, {""day"": ""Friday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Everitt Laboratory 1306""}]",50,0
CS425,Distributed Systems,"Protocols, specification techniques, global states and their determination, reliable broadcast, transactions and commitment, security, and real-time systems. Same as ECE 428. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent enrollment in one of CS 240, CS 241, CS 340, CS 341 or ECE 391.",3,CS,[],Spring,2025,"[{""day"": ""Wednesday"", ""start_time"": ""12:30 PM"", ""end_time"": ""01:45 PM"", ""room"": ""Digital Computer Laboratory 1320""}, {""day"": ""Friday"", ""start_time"": ""12:30 PM"", ""end_time"": ""01:45 PM"", ""room"": ""Digital Computer Laboratory 1320""}]",50,0
CS427,Software Engineering I,"Software process, analysis and design. Software development paradigms, system engineering, function-based analysis and design, and object-oriented analysis and design. Course will use team-projects for hands-on exercises. Same as CSE 426. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 222, CS 240, CS 241, CS 340, CS 341 or ECE 391.",3,CS,[],Spring,2025,[],50,0
CS431,Embedded Systems,"Students will learn embedded system architecture, Real-Time Operating Systems, and real-time software design and development techniques, including 1) real-time software designs, practical signal processing, and control techniques in embedded applications, including the safe use of machine learning, and 2) the schedulability analysis to ensure deadlines of tasks are met. In the lab, students will practice what they learn in the class so that their software can drive a two-wheeled robot car along a course and avoid obstacles autonomously. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 241, CS 341 or ECE 391.",3,CS,[],Spring,2025,"[{""day"": ""Wednesday"", ""start_time"": ""03:00 PM"", ""end_time"": ""04:50 PM"", ""room"": ""Siebel Center for Comp Sci ARR""}]",50,0
CS433,Computer System Organization,"Computer hardware design and analysis and interface with software. Advanced processor design, including superscalar, out-of-order issue, branch prediction, and speculation. Memory hierarchy design, including advanced cache optimizations, main memory, and virtual memory. Principles of multiprocessor design, including shared-memory, cache coherence, synchronization, and consistency. Other advanced topics depending on time; e.g., GPUs and accelerators, warehouse computers and data centers, security. Same as CSE 422. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 233.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Transportation Building 112""}]",50,0
CS434,Real World Algorithms for IoT and Data Science,Same as ECE 434. See ECE 434.,3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""03:30 PM"", ""end_time"": ""04:50 PM"", ""room"": ""nan nan""}, {""day"": ""Wednesday"", ""start_time"": ""03:30 PM"", ""end_time"": ""04:50 PM"", ""room"": ""nan nan""}]",50,0
CS435,Cloud Networking,"Provides a foundational view of computer networks with a focus on enabling modern large-scale cloud computing. The first part of this course studies the principles upon which the Internet and other networks are built, and how those principles translate into deployed protocols. The second part covers how those principles are applied in network infrastructure for modern clouds, enabling deployment of virtual networks on shared infrastructure, efficient transfer of big data and low latency communication, and federation of applications across countries and continents. 3 undergraduate hours. 4 graduate hours. Credit is not given for both CS 435 and CS 438/ECE 438. Prerequisite: One of CS 240, CS 241, CS 340, CS 341 or ECE 391.",3,CS,[],Spring,2025,[],50,0
CS437,Topics in Internet of Things,"Topics of networked embedded computing technology, known as the Internet of Things, in application, distributed, human-centric, or social contexts. The tight coupling between people, networking protocols, computing elements, and physical things in IoT systems presents unique challenges for data collection, processing in constrained computation and communication environments. Introduces general principles of IoT systems and protocol, offers broad foundations for IoT services, and allows specialization to pursue an in-depth understanding of selected IoT aspects or subtopics. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 241 or CS 341. Additional prerequisites may be specified each term. See section information.",3,CS,[],Spring,2025,"[{""day"": ""Friday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Illini Center ARR""}]",50,0
CS438,Communication Networks,"Layered architectures and the OSI Reference Model; design issues and protocols in the transport, network, and data link layers; architectures and control algorithms of local-area, point-to-point, and satellite networks; standards in networks access protocols; models of network interconnection; overview of networking and communication software. Same as ECE 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 241, CS 341 or ECE 391; strongly recommend one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Digital Computer Laboratory 1320""}]",50,0
CS440,Artificial Intelligence,"Major topics in and directions of research in artificial intelligence: basic problem solving techniques, knowledge representation and computer inference, machine learning, natural language understanding, computer vision, robotics, and societal impacts. Same as ECE 448. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463, STAT 400 or BIOE 310.",3,CS,[],Spring,2025,"[{""day"": ""Monday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall THEAT""}, {""day"": ""Wednesday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall THEAT""}, {""day"": ""Friday"", ""start_time"": ""01:00 PM"", ""end_time"": ""01:50 PM"", ""room"": ""Lincoln Hall THEAT""}]",50,0
CS441,Applied Machine Learning,"Techniques of machine learning to various signal problems: regression, including linear regression, multiple regression, regression forest and nearest neighbors regression; classification with various methods, including logistic regression, support vector machines, nearest neighbors, simple boosting and decision forests; clustering with various methods, including basic agglomerative clustering and k-means; resampling methods, including cross-validation and the bootstrap; model selection methods, including AIC, stepwise selection and the lasso; hidden Markov models; model estimation in the presence of missing variables; and neural networks, including deep networks. The course will focus on tool-oriented and problem-oriented exposition. Application areas include computer vision, natural language, interpreting accelerometer data, and understanding audio data. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 225 or CS 277, and one of CS 361, STAT 361, ECE 313, BIOE 310, MATH 362, MATH 461, MATH 463 or STAT 400.",3,CS,[],Spring,2025,[],50,0
CS442,Trustworthy Machine Learning,"Prepares students to understand the security and privacy problems in machine learning and educates students to propose different attack strategies to identify the vulnerabilities of a range of learning algorithms and understand different defense approaches towards trustworthy machine learning systems. Students will explore topics including basic machine learning foundations (e.g., linear regression and PCA), adversarial attacks against different learning algorithms, differential privacy, data valuation, and different categories of defenses. The lessons are reinforced via a series of topic-driven lectures, coding assignments, related paper readings, exams and in-class discussions. Students will learn to analyze current interactions between attackers and defenders on machine learning and therefore develop an understanding of the principles on trustworthy machine learning which is an emerging and important topic. Students will be required to finish three related homework projects, including 1) developing a machine learning classifier, 2) designing adversarial attacks against the built classifier, and 3) developing defenses to improve the robustness of the trained classifier against designed attacks. Students registered for 4 credit hours will also finish a final project based on the class topics, demonstrating their ability to propose related new algorithms based on the class subjects. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 225; one of CS 440, ECE 448, CS 441, CS 446 or ECE 449; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406 or BIOE 210.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""02:00 PM"", ""end_time"": ""03:15 PM"", ""room"": ""Siebel Center for Comp Sci 1302""}]",50,0
CS444,Deep Learning for Computer Vision,"Provides an elementary hands-on introduction to neural networks and deep learning with an emphasis on computer vision applications. Topics include: linear classifiers; multi-layer neural networks; back-propagation and stochastic gradient descent; convolutional neural networks and their applications to object detection and dense image labeling; recurrent neural networks and state-of-the-art sequence models like transformers; generative adversarial networks and variational autoencoders for image generation; and deep reinforcement learning. Coursework will consist of programming assignments in a common deep learning framework. Those registered for 4 credit hours will have to complete a project. Same as ECE 494. 3 undergraduate hours. 4 graduate hours. Prerequisite: MATH 241; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406, or BIOE 210; CS 225; one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400. No previous exposure to machine learning is required.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""11:00 AM"", ""end_time"": ""12:15 PM"", ""room"": ""Natural History Building 2079""}]",50,0
CS445,Computational Photography,"Computer vision techniques to enhance, manipulate, and create media from photo collections, such as panoramic stitching, face morphing, texture synthesis, blending, and 3D reconstruction. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225, MATH 225, and MATH 231.",3,CS,[],Spring,2025,[],50,0
CS446,Machine Learning,"Principles and applications of machine learning. Main paradigms and techniques, including discriminative and generative methods, reinforcement learning: linear regression, logistic regression, support vector machines, deep nets, structured methods, dimensionality reduction, k-means, Gaussian mixtures, expectation maximization, Markov decision processes, and Q-learning. Application areas such as natural language and text understanding, speech recognition, computer vision, data mining, and adaptive computer systems, among others. Same as ECE 449. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 225; One of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406 or BIOE 210; one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463, STAT 400 or BIOE 310.",3,CS,[],Spring,2025,[],50,0
CS447,Natural Language Processing,"Part-of-speech tagging, parsing, semantic analysis and machine translation. Relevant linguistics concepts from morphology (word formation) and lexical semantics (the meaning of words) to syntax (sentence structure) and compositional semantics (the meaning of sentences). 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 173 or MATH 213; CS 225; CS 374 or ECE 374; one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463, STAT 400 or BIOE 310; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406 or BIOE 210.",3,CS,[],Spring,2025,[],50,0
CS448,Audio Computing Laboratory,"Computational foundations of modern audio applications: theory of audio processing for implementation of applications such as room and 3D/virtual audio rendering, pitch manipulations and autotuning, denoising for communications and forensics, audio classification, music information retrieval based on audio, rudimentary speech recognition, speech and audio coding, applications of machine learning to audio scene recognition, audio restoration, missing data recovery, and many more. This will be a lab-like course in which students collectively implement a variety of core audio operations that are commonplace today. Students will be required to bring to class their laptops and headphones to participate in lab exercises. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One of CS 240, CS 241, CS 340, CS 341, or ECE 391; one of MATH 225, MATH 257, MATH 415, MATH 416, ASRM 406, or BIOE 210.",3,CS,[],Spring,2025,"[{""day"": ""Wednesday"", ""start_time"": ""11:00 AM"", ""end_time"": ""12:15 PM"", ""room"": ""Siebel Center for Comp Sci 216""}, {""day"": ""Friday"", ""start_time"": ""11:00 AM"", ""end_time"": ""12:15 PM"", ""room"": ""Siebel Center for Comp Sci 216""}]",50,0
CS450,Numerical Analysis,"Linear system solvers, optimization techniques, interpolation and approximation of functions, solving systems of nonlinear equations, eigenvalue problems, least squares, and quadrature; numerical handling of ordinary and partial differential equations. Same as CSE 401, ECE 491, and MATH 450. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for both CS 450 and CS 457. Prerequisite: One of CS 101, CS 124 or CS 125; one of CS 357, MATH 257, MATH 357, MATH 415, or MATH 416; MATH 285.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""11:00 AM"", ""end_time"": ""12:15 PM"", ""room"": ""Siebel Center for Comp Sci 1404""}]",50,0
CS461,Computer Security I,"Fundamental principles of computer and communications security and information assurance: ethics, privacy, notions of threat, vulnerabilities, and risk in systems, information warfare, malicious software, data secrecy and integrity issues, network security, trusted computing, mandatory and discretionary access controls, certification and accreditation of systems against security standards. Security mechanisms: authentication, auditing, intrusion detection, access control, cryptography, security protocols, key distribution. Same as ECE 422. 4 undergraduate hours. 4 graduate hours. Prerequisite: One of CS 241, CS 341 or ECE 391, or a combination of CS 233 and CS 340.",3,CS,[],Spring,2025,"[{""day"": ""Tuesday"", ""start_time"": ""12:30 PM"", ""end_time"": ""01:45 PM"", ""room"": ""Siebel Center for Comp Sci 1404""}]",50,0
CS463,Computer Security II,"Program security, trusted base, privacy, anonymity, non-interference, information flow, confinement, advanced auditing, forensics, intrusion detection, key management and distribution, policy composition and analysis, formal approaches to specification and verification of secure systems and protocols, and topics in applied cryptography. Same as ECE 424. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CS 461. Recommended: CS 475.",3,CS,[],Spring,2025,[],50,0
